GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,RecurringVehiculeService,11,85,1,5,1,26,1,8,0,6
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,142,2,9,1,31,2,9,0,5
parking-system,com.parkit.parkingsystem.service,ParkingService,167,101,12,1,47,24,10,4,3,4
parking-system,com.parkit.parkingsystem.service,InteractiveShell,77,0,6,0,29,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,43,19,8,0,11,8,10,3,6,3
parking-system,com.parkit.parkingsystem.model,Ticket,11,68,2,2,3,22,4,11,2,11
parking-system,com.parkit.parkingsystem.model,RecurringVehicule,19,43,2,4,7,11,7,5,5,4
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,AppType,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,43,10,4,0,14,2,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,245,4,10,0,59,1,9,1,4,1
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,107,4,4,0,30,1,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,RecurringVehiculeDAO,225,0,10,0,67,0,13,0,8,0
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,53,7,6,0,24,2,7,2,4,2
